Hello!	안녕!
No way!	절대 아니야.
No way!	그럴리가!
Welcome.	어서오세요.
Welcome.	환영합니다.
Cheer up!	힘내!
I'm ugly.	나는 못 생겼다.
Let's go!	가자!
Don't lie.	거짓말 하지 마.
Don't lie.	거짓말 하지 마세요.
I'm sorry.	미안해.
I'm sorry.	미안해요.
I'm sorry.	죄송합니다.
I'm sorry.	유감입니다.
Of course.	물론이죠.
Seriously?	진심이야?
He is nice.	걔 괜찮아.
I felt bad.	난 기분이 나빴다.
I don't lie.	나는 거짓말 하지 않습니다.
I don't lie.	난 거짓말 안해.
I don't lie.	나는 거짓말 하지 않아.
I'm nervous.	긴장돼요.
I'm nervous.	떨려요.
I'm shocked.	충격이야.
It's a pity.	안타까워요.
What's that?	저건 뭐야?
You're mine.	넌 내 거야.
You're mine.	당신은 나의 것입니다.
Come quickly!	빨리 와!
Come quickly!	빨리 오세요!
I don't know.	나는 몰라요.
Is this mine?	이거 내꺼니?
Is this wine?	이게 와인이야?
Just keep it.	그냥 그거 가져.
We don't lie.	우리는 거짓말을 하지 않아요.
We don't lie.	우린 거짓말 안해.
We're inside.	우리 안에 들어와 있어.
We're inside.	우린 안에 있어요.
Can I ask why?	이유를 물어봐도 돼?
Grab the rope.	로프를 잡으세요.
I am homesick.	나 향수병 걸렸어.
I feel guilty.	죄책감이 들어.
I use Firefox.	나는 파이어폭스를 사용해.
My head hurts.	머리가 아파요.
Autumn is here.	가을이 되었습니다.
Autumn is here.	가을이 왔어요.
Can I help you?	제가 좀 도와 드릴까요?
Do you hear me?	제 말이 들리세요?
I like reading.	독서를 좋아합니다.
I love my home.	난 내 집이 좋아.
I'm very sorry.	정말 미안해.
I'm very sorry.	정말 죄송합니다.
Only God knows.	신만이 아실 것입니다.
Read this book.	이 책 읽어.
Read this book.	이 책을 읽으세요.
Sorry I'm late.	늦어서 미안해.
Can you help me?	저를 좀 도와 주실래요?
Congratulations!	축하해!
Do you like rap?	랩 좋아해요?
Do you like rap?	랩 좋아해?
Don't lie to me.	내게 거짓말 하지 마.
Don't lie to me.	제게 거짓말 하지 마세요.
Don't lie to us.	우리에게 거짓말 하지 마.
Don't lie to us.	저희에게 거짓말 하지 마세요.
Drive carefully.	운전 조심하세요.
Drive carefully.	운전 조심해.
Have a good day.	좋은하루 되세요.
I hate my voice.	나는 내 목소리가 싫다.
I know Tom well.	나는 톰을 잘 안다.
I work at a zoo.	나는 동물원에서 일해.
Keep the change.	잔돈은 가지세요.
Sorry, I'm late.	늦어서 미안합니다.
They were naive.	걔들이 순진했어.
Tom was too old.	톰은 너무 늙었어.
What time is it?	몇시 입니까?
Are you sleeping?	자고 있어?
Call this number.	이 번호로 전화해.
Do you like fish?	생선 좋아해요?
Do you like fish?	생선 좋아해?
Do you like fish?	물고기 좋아하나요?
Do you like fish?	물고기 좋아해?
Her hair is long.	그녀의 머리카락은 길어.
Her hair is long.	그녀의 머리카락은 길다.
Here is the bill.	여기 계산서 입니다.
I felt very safe.	나는 매우 안전하다고 느꼈다.
I live in Turkey.	터키에 살아요.
I lost my wallet.	지갑을 잃어버렸어.
I missed the bus.	버스를 놓쳤어요.
I said I'm sorry.	미안하다고 했잖아.
I said I'm sorry.	미안하다고 했잖아요.
Is the bank open?	은행 문 열었어요?
Is the bank open?	은행 해요?
They're amateurs.	걔네 초짜야.
Think about this.	생각 좀 해봐.
Tom isn't skinny.	톰은 마르지 않았다.
We can't give up.	우린 포기할 수 없어.
We can't give up.	포기할 수 없어요.
What do you like?	무엇을 좋아하세요?
What do you like?	뭘 좋아해?
What do you like?	뭐가 좋아?
I have a headache.	머리가 아파요.
I'm a simple girl.	저는 단순한 소녀에요.
I'm in charge now.	이제 내가 책임을 지고 있다.
May God bless you.	신께서 당신을 축복하시길.
Take the medicine.	그 약을 먹으세요.
Turn on the radio.	라디오를 켜세요.
Where is the bank?	그 은행은 어디에 있어요?
Where is the bank?	그 은행은 어디 있어?
Why are you lying?	왜 거짓말 하는거야?
You are beautiful.	아름다우시네요.
You can have mine.	너는 내 것을 가질 수 있다.
Can I see this one?	이것 좀 보여주실래요?
Don't get me wrong.	오해하지 마.
I don't understand.	이해가 안돼.
I have to find her.	그녀를 찾아야 한다.
I really like snow.	나는 눈이 정말 좋아요.
I really like snow.	난 눈이 정말 좋아.
Life is never easy.	사는게 쉽지가 않아.
She has small feet.	그녀는 발이 작다.
The night was cold.	그날 밤은 추웠어.
